ts,ecg
1626177986866.46,-14.4216572548935
1626177986869.78,-14.4523089471232
1626177986873.11,-14.4590883802281
1626177986876.43,-14.4584392855691
1626177986879.76,-14.4781284902249
1626177986883.09,-14.4934903971541
1626177986886.41,-14.4760369629904
1626177986889.74,-14.4834654907543
1626177986893.07,-14.4949328297297
1626177986896.39,-14.4976734516231
1626177986899.72,-14.5048134928719
1626177986903.05,-14.5111601962042
1626177986906.37,-14.5157038588171
1626177986909.7,-14.509285033856
1626177986913.02,-14.5235651163536
1626177986916.35,-14.5311378873751
1626177986919.68,-14.514766277643
1626177986923,-14.5206081295738
1626177986926.33,-14.5226996568083
1626177986929.66,-14.5185887239681
1626177986932.98,-14.5348160904427
1626177986936.31,-14.5545052950985
1626177986939.64,-14.5377009555937
1626177986942.96,-14.5541446869546
1626177986946.29,-14.5519089164625
1626177986949.62,-14.5190935753695
1626177986952.94,-14.5568853088481
1626177986956.27,-14.5402252126009
1626177986959.59,-14.5568131872193
1626177986962.92,-14.5408743072598
1626177986966.25,-14.5154874939308
1626177986969.57,-14.5379894421088
1626177986972.9,-14.53791732048
1626177986976.23,-14.5265221031335
1626177986979.55,-14.5560919709315
1626177986982.88,-14.5652514177861
1626177986986.21,-14.5369076176772
1626177986989.53,-14.5514040650611
1626177986992.86,-14.5416676451764
1626177986996.19,-14.5618617012336
1626177986999.51,-14.5229160216947
1626177987002.84,-14.5661168773314
1626177987006.16,-14.5666938503616
1626177987009.49,-14.5446246319562
1626177987012.82,-14.5375567123361
1626177987016.14,-14.5483028350237
1626177987019.47,-14.5056068307885
1626177987022.8,-14.5248633056716
1626177987026.12,-14.540513699116
1626177987029.45,-14.551115578546
1626177987032.78,-14.5513319434323
1626177987036.1,-14.5635204986954
1626177987039.43,-14.5719587292622
1626177987042.76,-14.5708047832018
1626177987046.08,-14.5407300640023
1626177987049.41,-14.544696753585
1626177987052.73,-14.5656841475587
1626177987056.06,-14.5390712665404
1626177987059.39,-14.5806133247153
1626177987062.71,-14.5578228900221
1626177987066.04,-14.5611404849458
1626177987069.37,-14.5272433194212
1626177987072.69,-14.5286857519967
1626177987076.02,-14.5490240513115
1626177987079.35,-14.5714538778608
1626177987082.67,-14.5470767673346
1626177987086,-14.5770072432765
1626177987089.32,-14.540513699116
1626177987092.65,-14.5550101464999
1626177987095.98,-14.5733290402089
1626177987099.3,-14.5702278101716
1626177987102.63,-14.5573180386207
1626177987105.96,-14.5555871195301
1626177987109.28,-14.5714538778608
1626177987112.61,-14.5806854463441
1626177987115.94,-14.5690738641112
1626177987119.26,-14.5800363516851
1626177987122.59,-14.5654677826724
1626177987125.92,-14.5746272295269
1626177987129.24,-14.5857339603584
1626177987132.57,-14.5852291089569
1626177987135.89,-14.5789545272535
1626177987139.22,-14.6085243950515
1626177987142.55,-14.5881860957368
1626177987145.87,-14.5943885558115
1626177987149.2,-14.6020334484617
1626177987152.53,-14.6120583548615
1626177987155.85,-14.5870321496763
1626177987159.18,-14.6051346784991
1626177987162.51,-14.5997255563409
1626177987165.83,-14.5723914590349
1626177987169.16,-14.6044134622113
1626177987172.49,-14.6168183823607
1626177987175.81,-14.5793151353973
1626177987179.14,-14.6201359772844
1626177987182.46,-14.6072983273623
1626177987185.79,-14.6023940566056
1626177987189.12,-14.6164577742169
1626177987192.44,-14.6272760185332
1626177987195.77,-14.6062886245595
1626177987199.1,-14.6465324934164
1626177987202.42,-14.6202080989132
1626177987205.75,-14.5968406911898
1626177987209.08,-14.6083080301652
1626177987212.4,-14.6047019487264
1626177987215.73,-14.5986437319092
1626177987219.06,-14.6152317065277
1626177987222.38,-14.6117698683464
1626177987225.71,-14.622515991034
1626177987229.03,-14.6079474220213
1626177987232.36,-14.6164577742169
1626177987235.69,-14.6197032475118
1626177987239.01,-14.6026104214919
1626177987242.34,-14.626699045503
1626177987245.67,-14.5899170148274
1626177987248.99,-14.598715853538
1626177987252.32,-14.605783773158
1626177987255.65,-14.6087407599379
1626177987258.97,-14.6135007874371
1626177987262.3,-14.6135007874371
1626177987265.62,-14.6055674082717
1626177987268.95,-14.6094619762256
1626177987272.28,-14.5977061507352
1626177987275.6,-14.604197097325
1626177987278.93,-14.6389597223949
1626177987282.26,-14.6087407599379
1626177987285.58,-14.5831375817224
1626177987288.91,-14.5695065938838
1626177987292.24,-14.5747714727845
1626177987295.56,-14.5789545272535
1626177987298.89,-14.5549380248711
1626177987302.22,-14.5271711977924
1626177987305.54,-14.5207523728314
1626177987308.87,-14.5077704796517
1626177987312.19,-14.4826721528378
1626177987315.52,-14.4476931628815
1626177987318.85,-14.4499289333736
1626177987322.17,-14.4229554442114
1626177987325.5,-14.444952540988
1626177987328.83,-14.4670938810222
1626177987332.15,-14.4841145854133
1626177987335.48,-14.465218718674
1626177987338.81,-14.4831770042392
1626177987342.13,-14.5449852401001
1626177987345.46,-14.5571016737344
1626177987348.79,-14.5646744447558
1626177987352.11,-14.5939558260388
1626177987355.44,-14.5943885558115
1626177987358.76,-14.5996534347121
1626177987362.09,-14.6300166404267
1626177987365.42,-14.5952540153568
1626177987368.74,-14.6076589355062
1626177987372.07,-14.6610289408003
1626177987375.4,-14.6227323559204
1626177987378.72,-14.6349930328122
1626177987382.05,-14.6221553828902
1626177987385.38,-14.6220111396326
1626177987388.7,-14.6493452369386
1626177987392.03,-14.6414839794021
1626177987395.36,-14.6577834675054
1626177987398.68,-14.6863436325006
1626177987402.01,-14.6365075870165
