ts,ecg
1626179489052.64,-12.9612663938125
1626179489055.97,-12.9725173679015
1626179489059.3,-13.0487499295175
1626179489062.62,-13.120006098748
1626179489065.95,-13.1494317232885
1626179489069.27,-13.1374595329117
1626179489072.6,-13.110990895151
1626179489075.93,-13.1234679369292
1626179489079.25,-13.1015429617814
1626179489082.58,-13.115823044279
1626179489085.91,-13.1150297063625
1626179489089.23,-13.105509651364
1626179489092.56,-13.0892822848895
1626179489095.89,-13.0540148084181
1626179489099.21,-13.0300704276646
1626179489102.54,-13.0526444974714
1626179489105.87,-13.1166885038243
1626179489109.19,-13.1979695794546
1626179489112.52,-13.2615087344061
1626179489115.84,-13.16407241393
1626179489119.17,-13.1300310051478
1626179489122.5,-13.1232515720429
1626179489125.82,-13.1378201410556
1626179489129.15,-13.144455330903
1626179489132.48,-13.1487826286295
1626179489135.8,-13.1546966021891
1626179489139.13,-13.1255594641637
1626179489142.46,-13.1013987185238
1626179489145.78,-13.1701306307472
1626179489149.11,-13.2567487069069
1626179489152.44,-13.3161769290181
1626179489155.76,-13.4064010866166
1626179489159.09,-13.4399376439974
1626179489162.41,-13.4175799390769
1626179489165.74,-13.31430176667
1626179489169.07,-13.06980944512
1626179489172.39,-12.876811966516
1626179489175.72,-12.3076280722175
1626179489179.05,-11.5114052905327
1626179489182.37,-11.1836846093756
1626179489185.7,-11.0544426506093
1626179489189.03,-11.1232466844614
1626179489192.35,-11.3264133127228
1626179489195.68,-11.8107100499523
1626179489199.01,-12.3184463165338
1626179489202.33,-12.5833490590273
1626179489205.66,-12.9931441537314
1626179489208.98,-13.1058702595079
1626179489212.31,-13.108755124659
1626179489215.64,-13.0606499982655
1626179489218.96,-13.0110303176678
1626179489222.29,-13.0155739802806
1626179489225.62,-13.0553851193649
1626179489228.94,-13.0574045249706
1626179489232.27,-13.0548081463347
1626179489235.6,-13.05920756569
1626179489238.92,-13.036056522853
1626179489242.25,-13.0333880225883
1626179489245.57,-13.0391577528903
1626179489248.9,-13.0333880225883
1626179489252.23,-13.027690413915
1626179489255.55,-13.0380759284587
1626179489258.88,-13.056322700539
1626179489262.21,-13.0261758597107
1626179489265.53,-13.0703142965215
1626179489268.86,-13.0497596323204
1626179489272.19,-13.0429080775867
1626179489275.51,-13.0373547121709
1626179489278.84,-13.0285558734603
1626179489282.17,-13.0285558734603
1626179489285.49,-13.0293492113768
1626179489288.82,-13.0380038068299
1626179489292.14,-13.0202618861511
1626179489295.47,-12.9960290188824
1626179489298.8,-13.0077848443729
1626179489302.12,-12.9961011405112
1626179489305.45,-12.9660264213117
1626179489308.78,-12.9650167185088
1626179489312.1,-12.9593191098355
1626179489315.43,-12.901261198671
1626179489318.76,-12.8821489670454
1626179489322.08,-12.8892890082942
1626179489325.41,-12.9559293932831
1626179489328.74,-13.0628136471288
1626179489332.06,-13.1047884350763
1626179489335.39,-13.0825749734133
1626179489338.71,-12.9971829649428
1626179489342.04,-12.9498711764659
1626179489345.37,-12.9268643768864
1626179489348.69,-12.9208061600692
1626179489352.02,-12.8947702520812
1626179489355.35,-12.8666428168586
1626179489358.67,-12.8692391954946
1626179489362,-12.8619549109882
1626179489365.33,-12.8426984361051
1626179489368.65,-12.8230092314493
1626179489371.98,-12.8154364604278
1626179489375.31,-12.7919248094469
1626179489378.63,-12.794160579939
1626179489381.96,-12.768413158466
1626179489385.28,-12.6898727047292
1626179489388.61,-12.6774677845797
1626179489391.94,-12.6579949448103
1626179489395.26,-12.6872042044645
1626179489398.59,-12.701195800447
1626179489401.92,-12.6993206380988
1626179489405.24,-12.6108995212197
1626179489408.57,-12.5751271933469
1626179489411.9,-12.5493076502451
1626179489415.22,-12.515915336122
1626179489418.55,-12.5228390124844
1626179489421.88,-12.5286087427865
1626179489425.2,-12.4921873202547
1626179489428.53,-12.4735078184018
1626179489431.85,-12.5200262689622
1626179489435.18,-12.5017073752531
1626179489438.51,-12.4960818882086
1626179489441.83,-12.5242093234312
1626179489445.16,-12.5286808644153
1626179489448.49,-12.5498125016466
1626179489451.81,-12.6221504953087
1626179489455.14,-12.6713374461338
1626179489458.47,-12.7003303409017
1626179489461.79,-12.7653840500574
1626179489465.12,-12.7991369723245
1626179489468.44,-12.7973339316051
1626179489471.77,-12.8511366666718
1626179489475.1,-12.8681573710629
1626179489478.42,-12.8745040743952
1626179489481.75,-12.8910920490136
1626179489485.08,-12.9205897951829
1626179489488.4,-12.9183540246909
1626179489491.73,-12.9412165810128
1626179489495.06,-12.9493663250645
1626179489498.38,-12.9477796492314
1626179489501.71,-12.9804507470668
1626179489505.04,-12.9837683419905
1626179489508.36,-12.9915574778983
1626179489511.69,-13.0199012780072
1626179489515.01,-12.9935047618752
1626179489518.34,-12.9963175053975
1626179489521.67,-13.0234352378172
1626179489524.99,-13.0261758597107
1626179489528.32,-13.0449274831924
1626179489531.65,-13.0601451468641
1626179489534.97,-13.0390135096328
1626179489538.3,-13.0209831024388
1626179489541.63,-13.0139151828188
1626179489544.95,-13.0319455900127
1626179489548.28,-13.0602893901216
1626179489551.61,-13.0988744615167
1626179489554.93,-13.0583421061447
1626179489558.26,-13.0664197285676
1626179489561.58,-13.041177158496
1626179489564.91,-13.0506250918657
1626179489568.24,-13.0306474006948
1626179489571.56,-13.0510578216383
1626179489574.89,-13.0274740490286
1626179489578.22,-13.0234352378172
1626179489581.54,-13.0034575466463
1626179489584.87,-12.9950914377083
1626179489588.2,-13.0135545746749
1626179489591.52,-13.0349746984213
1626179489594.85,-13.0330995360732
1626179489598.18,-13.0267528327409
1626179489601.5,-12.9743925302497
1626179489604.83,-12.9756907195676
1626179489608.15,-13.0077848443729
1626179489611.48,-13.0315849818689
1626179489614.81,-13.0452880913363
1626179489618.13,-13.0242285757337
1626179489621.46,-13.0212715889539
1626179489624.79,-13.0196849131209
1626179489628.11,-13.0023757222147
1626179489631.44,-13.0120400204706
1626179489634.77,-13.0175212642576
1626179489638.09,-13.0081454525167
1626179489641.42,-12.9863647206264
1626179489644.74,-12.9777101251733
1626179489648.07,-12.9690555297203
1626179489651.4,-12.9809555984683
1626179489654.72,-12.9821816661574
1626179489658.05,-12.9929999104738
1626179489661.38,-12.96494459688
1626179489664.7,-12.9606894207823
1626179489668.03,-12.9723010030152
1626179489671.36,-12.9738876788482
1626179489674.68,-12.9966059919126
1626179489678.01,-13.0083618174031
1626179489681.34,-13.0073521146002
1626179489684.66,-12.993576883504
1626179489687.99,-13.0063424117973
1626179489691.31,-13.0027363303585
1626179489694.64,-12.9912689913832
1626179489697.97,-12.997110843314
1626179489701.29,-12.972661611159
1626179489704.62,-12.9643676238498
1626179489707.95,-12.9820374228999
1626179489711.27,-12.9953799242234
1626179489714.6,-13.0041787629341
1626179489717.93,-12.9827586391877
1626179489721.25,-12.9982647893744
1626179489724.58,-12.9953799242234
