ts,ecg
1626177386385.16,-3.55927450171405
1626177386388.49,-3.78414974023697
1626177386391.82,-4.21161463399108
1626177386395.14,-4.40244846373182
1626177386398.47,-4.42163281698618
1626177386401.79,-4.3575166890045
1626177386405.12,-4.36263732464758
1626177386408.45,-4.35809366203471
1626177386411.77,-4.35780517551961
1626177386415.1,-4.38535563771196
1626177386418.43,-4.37533073131212
1626177386421.75,-4.395957517142
1626177386425.08,-4.4138436810784
1626177386428.41,-4.41716127600208
1626177386431.73,-4.41427641085105
1626177386435.06,-4.42870073660621
1626177386438.39,-4.44608204914117
1626177386441.71,-4.42776315543212
1626177386445.04,-4.43923049440747
1626177386448.36,-4.45444815807917
1626177386451.69,-4.4209837223272
1626177386455.02,-4.40331392327713
1626177386458.34,-4.40670363982959
1626177386461.67,-4.40944426172307
1626177386465,-4.4099491131245
1626177386468.32,-4.40944426172307
1626177386471.65,-4.40057330138365
1626177386474.98,-4.40151088255774
1626177386478.3,-4.40562181539796
1626177386481.63,-4.41478126225248
1626177386484.95,-4.39754419297507
1626177386488.28,-4.39263992221831
1626177386491.61,-4.38564412422706
1626177386494.93,-4.38723080006013
1626177386498.26,-4.38708655680258
1626177386501.59,-4.38542775934074
1626177386504.91,-4.39588539551322
1626177386508.24,-4.37951378578112
1626177386511.57,-4.39545266574057
1626177386514.89,-4.36847917657842
1626177386518.22,-4.35787729714838
1626177386521.55,-4.34640995817303
1626177386524.87,-4.35405485082327
1626177386528.2,-4.34100083601485
1626177386531.52,-4.33083168635746
1626177386534.85,-4.32217709090437
1626177386538.18,-4.30090121041551
1626177386541.5,-4.31258491427719
1626177386544.83,-4.30320910253633
1626177386548.16,-4.28308716810789
1626177386551.48,-4.28626051977402
1626177386554.81,-4.27587500523031
1626177386558.14,-4.27940896504032
1626177386561.46,-4.24565604277325
1626177386564.79,-4.2318086900483
1626177386568.12,-4.23887660966833
1626177386571.44,-4.17742898195135
1626177386574.77,-4.1612016154768
1626177386578.09,-4.15586461494739
1626177386581.42,-4.15110458744819
1626177386584.75,-4.15146519559207
1626177386588.07,-4.13365115328445
1626177386591.4,-4.11050011044742
1626177386594.73,-4.08395935105793
1626177386598.05,-4.07580960700627
1626177386601.38,-4.08093024264935
1626177386604.71,-4.06455863291724
1626177386608.03,-4.0697513901891
1626177386611.36,-4.05078340182107
1626177386614.69,-4.05965436216049
1626177386618.01,-4.05244219928291
1626177386621.34,-4.04465306337512
1626177386624.66,-4.02957964296098
1626177386627.99,-4.02929115644588
1626177386631.32,-4.04378760382981
1626177386634.64,-4.06470287617479
1626177386637.97,-4.05965436216049
1626177386641.3,-4.10184551499433
1626177386644.62,-4.11021162393232
1626177386647.95,-4.15874948009842
1626177386651.28,-4.21348979633925
1626177386654.6,-4.18190052293545
1626177386657.93,-4.22300985133765
1626177386661.25,-4.27818289735113
1626177386664.58,-4.2797695731842
1626177386667.91,-4.28936174981138
1626177386671.23,-4.31734494177639
1626177386674.56,-4.34669844468814
1626177386677.89,-4.35542516177001
1626177386681.21,-4.33148078101644
1626177386684.54,-4.35535304014123
1626177386687.87,-4.38268713744725
1626177386691.19,-4.38218228604582
1626177386694.52,-4.39559690899812
1626177386697.85,-4.39840965252038
1626177386701.17,-4.4096606266094
1626177386704.5,-4.42855649334866
1626177386707.82,-4.42220979001639
1626177386711.15,-4.43122499361336
1626177386714.48,-4.42300312793292
1626177386717.8,-4.4188921950927
1626177386721.13,-4.45214026595834
1626177386724.46,-4.45459240133672
1626177386727.78,-4.44204323792973
1626177386731.11,-4.45747726648775
1626177386734.44,-4.45293360387488
1626177386737.76,-4.44024019721034
1626177386741.09,-4.42920558800764
1626177386744.42,-4.44882267103466
1626177386747.74,-4.46440094285023
1626177386751.07,-4.44961600895119
1626177386754.39,-4.4412499000132
1626177386757.72,-4.43057589895438
1626177386761.05,-4.43194620990112
1626177386764.37,-4.45899182069204
1626177386767.7,-4.4460099275124
1626177386771.03,-4.44622629239873
1626177386774.35,-4.45113056315548
1626177386777.68,-4.43447046690827
1626177386781.01,-4.42257039816027
1626177386784.33,-4.43800442671829
1626177386787.66,-4.45855909091939
1626177386790.99,-4.44896691429221
1626177386794.31,-4.44831781963322
1626177386797.64,-4.42682557425804
1626177386800.96,-4.44478385982321
1626177386804.29,-4.44088929186932
1626177386807.62,-4.45055359012527
1626177386810.94,-4.44485598145199
1626177386814.27,-4.43382137224929
1626177386817.6,-4.44680326542893
1626177386820.92,-4.43641775088522
1626177386824.25,-4.42927770963642
1626177386827.58,-4.45185177944324
1626177386830.9,-4.45113056315548
1626177386834.23,-4.45776575300285
1626177386837.55,-4.45884757743449
1626177386840.88,-4.4528614822461
1626177386844.21,-4.45682817182877
1626177386847.53,-4.46728580800126
1626177386850.86,-4.4254552633113
1626177386854.19,-4.4007175446412
1626177386857.51,-4.43490319668093
1626177386860.84,-4.46995430826596
1626177386864.17,-4.46966582175086
1626177386867.49,-4.46598761868329
1626177386870.82,-4.46151607769919
1626177386874.15,-4.45437603645039
1626177386877.47,-4.46281426701716
1626177386880.8,-4.44456749493688
1626177386884.12,-4.45617907716979
1626177386887.45,-4.45913606394959
1626177386890.78,-4.46137183444164
1626177386894.1,-4.46584337542574
1626177386897.43,-4.46699732148615
1626177386900.76,-4.46771853777391
1626177386904.08,-4.46649247008472
1626177386907.41,-4.47716647114354
1626177386910.74,-4.48163801212764
1626177386914.06,-4.45978515860858
1626177386917.39,-4.45668392857122
1626177386920.72,-4.46699732148615
1626177386924.04,-4.4784646604615
1626177386927.37,-4.4778876874313
1626177386930.69,-4.4641845779639
1626177386934.02,-4.4757961601968
1626177386937.35,-4.48459499890745
1626177386940.67,-4.46404033470635
1626177386944,-4.47651737648456
1626177386947.33,-4.49793750023097
1626177386950.65,-4.52123278632555
1626177386953.98,-4.45697241508632
1626177386957.31,-4.45682817182877
1626177386960.63,-4.4507699550116
1626177386963.96,-4.47622888996946
1626177386967.29,-4.47666161974211
1626177386970.61,-4.46533852402431
1626177386973.94,-4.47154098409903
1626177386977.26,-4.46367972656247
1626177386980.59,-4.48524409356643
1626177386983.92,-4.49173504015625
1626177386987.24,-4.45343845527631
1626177386990.57,-4.46122759118409
1626177386993.9,-4.47154098409903
1626177386997.22,-4.45754938811653
1626177387000.55,-4.46223729398695
1626177387003.88,-4.4638960914488
1626177387007.2,-4.46966582175086
1626177387010.53,-4.47334402481842
1626177387013.85,-4.42639284448538
1626177387017.18,-4.42639284448538
1626177387020.51,-4.4230752495617
1626177387023.83,-4.43165772338602
1626177387027.16,-4.42559950656885
1626177387030.49,-4.39069263824137
1626177387033.81,-4.36516158165474
1626177387037.14,-4.29722300734794
1626177387040.47,-4.26476827439884
1626177387043.79,-4.27940896504032
1626177387047.12,-4.32203284764681
1626177387050.45,-4.34092871438607
